time,seconds_elapsed,x,y,vx,vy
1746650740041851600,0.0228515625,-0.00014874204545454534,0.00046077102272727266,,
1746650740051817700,0.032817626953125,-0.00038212915482954533,0.0005774645774147727,,
1746650740061782500,0.042782470703125,-0.00027522509765623405,0.0008018347167968749,-0.0024607529296875015,0.012386553955078126
1746650740071748600,0.05274853515625,-0.00016196370634187957,0.0010282402516084558,0.0009370888097426453,0.00728920510684743
1746650740081714700,0.062714599609375,-4.8702315027524977e-05,0.0012546457864200367,0.004334930549172794,0.0021918562586167294
1746650740091679700,0.0726796875,5.551e-17,0.001219060890151515,0.005796,0.0
1746650740101645800,0.082645751953125,5.551e-17,0.0009857945815577652,0.005796,0.0
1746650740111611600,0.092611572265625,5.551e-17,0.0007525339873342804,0.005796,0.0
1746650740121576700,0.10257666015625,3.017034801141474e-05,0.0006399094637784089,0.006701266601562498,0.001357821821732951
1746650740131542800,0.112542724609375,0.00014686390269889806,0.0008731757723721591,0.01020267724609375,0.006609635786576703
1746650740141507600,0.122507568359375,0.00026354316406251757,0.001106413509114583,0.013703659016927081,0.011860806477864578
1746650740151473700,0.1324736328125,0.00038023671875000076,0.0013396798177083328,0.01720506966145833,0.017112620442708323
1746650740161439700,0.142439697265625,0.0006009032384535844,0.001459445965935202,0.010952681741153499,0.014171063232421878
1746650740171404500,0.152404541015625,0.0008273396584903492,0.0015728693345013786,0.004157244470932906,0.010773051513671875
1746650740181370600,0.16237060546875,0.001053803817210478,0.0016863065975413604,-0.002639025247012868,0.007374623535156248
1746650740191336700,0.172336669921875,0.0009715696836529453,0.001739,-0.002984383537523684,0.006732989864464959
1746650740201301500,0.182301513671875,0.0006215922925544769,0.001739,0.0022655792939157123,0.008482574854995262
1746650740211267600,0.192267578125,0.0002715720288826184,0.001739,0.007516185250946965,0.010232374171401513
1746650740221233700,0.202233642578125,0.00012692345473350774,0.0017897825209673714,0.01159,0.010828590662339155
1746650740231198700,0.21219873046875,0.0006931749195772415,0.0020163417250689338,0.01159,0.007431668054917279
1746650740241164800,0.222164794921875,0.0012594818761489151,0.0022429231316061574,0.01159,0.004034412554572618
1746650740251130600,0.232130615234375,0.0018257749597886054,0.0024694989875344666,0.01159,0.0006372402774586436
1746650740261095700,0.242095703125,0.001647620028409091,0.002322364287405303,0.003060072798295463,-0.004266190222537874
1746650740271061800,0.252061767578125,0.0012975393643465919,0.002088916777639679,-0.007440535111860762,-0.009518004187381612
1746650740281027800,0.26202783203125,0.0009474587002840907,0.001855469267874053,-0.017941143022017048,-0.014769818152225379
1746650740290992600,0.27199267578125,0.0007143403053977271,0.0016804495294744316,-0.021426511748342796,-0.013882115737452641
1746650740300958700,0.281958740234375,0.0005976467507102272,0.0015635747736150569,-0.01792630911162405,-0.006879898452296401
1746650740310924800,0.2919248046875,0.0004809531960227274,0.0014467000177556819,-0.014426106474905307,0.00012231883285983985
1746650740320889600,0.3018896484375,0.0003649247012867678,0.0013949617130055146,-0.010623722713694852,0.006762166130514706
1746650740330855700,0.311855712890625,0.00025166330997244556,0.0016215431195427395,-0.0055275463436350964,0.011857756261488984
1746650740340821800,0.32182177734375,0.00013840191865812393,0.001848124526079963,-0.0004313699735753705,0.016953346392463233
1746650740350786600,0.33178662109375,2.515440027578723e-05,0.00207467817957261,0.004664182186351101,0.022048312385110288
1746650740360752600,0.341752685546875,0.00018155379971595103,0.00230660078568892,0.0071571836381392005,0.019095979225852284
1746650740370718700,0.35171875,0.00041494090909093527,0.002540048295454546,0.008906982954545457,0.013845977272727262
1746650740380683800,0.361683837890625,0.0006483051491477369,0.0027734729299834287,0.010656610810250952,0.008596489760890134
1746650740390649900,0.37164990234375,0.0007728,0.0028436102331912878,0.00914020599550189,0.002528950432054919
1746650740400615700,0.38161572265625,0.0007728,0.0027270403349905306,0.0038897286635890243,-0.0044730953184185475
1746650740410580700,0.391580810546875,0.0007728,0.00261047900390625,-0.001360362792968738,-0.011474626464843731
1746650740420546800,0.401546875,0.0007552202205882353,0.0024768313419117646,-0.0065869080882352965,-0.016862515624999998
1746650740430512600,0.4115126953125,0.0006419616038602942,0.002250255485983456,-0.011682373391544116,-0.0134641708984375
1746650740440477700,0.421477783203125,0.0005287113108915441,0.0020236962818818934,-0.01677746421185662,-0.010066075927734373
1746650740450443800,0.43144384765625,0.00041544991957720597,0.0017971148753446694,-0.021873054342830878,-0.006667647949218753
1746650740460409600,0.44140966796875,0.00012611857244318285,0.0018256706616950756,-0.02187994007457387,0.0059171133108427585
1746650740470374700,0.451374755859375,-0.00022392778764204416,0.0019422319927793557,-0.020131520108309663,0.02166980345939862
1746650740480340700,0.4613408203125,-0.0005740084517045451,0.002058804746685606,-0.01838292879971591,0.037424037346117406
1746650740490306600,0.471306640625,-0.0007728,0.002478014026988634,-0.015120530894886377,0.04410053089488638
1746650740500271900,0.48127197265625,-0.0007728,0.0032948692737926116,-0.00986910289417615,0.038849102894176146
1746650740510237700,0.49123779296875,-0.0007728,0.004111764544862687,-0.004617417584043578,0.03359741758404358
1746650740520203500,0.50120361328125,-0.0007728,0.004802635498046876,-0.0001878698730468686,0.027890021972656286
1746650740530168800,0.5111689453125,-0.0007728,0.0045760707433363974,-0.0017433409639246325,0.018865534524356617
1746650740540134700,0.521134765625,-0.0007728,0.004349494887408088,-0.0032988882697610345,0.009840604894301441
1746650740550100700,0.531100830078125,-0.0007728,0.004122913480870864,-0.004854473683076747,0.0008154541733685627
1746650740560065800,0.541065673828125,-0.0008486382324218747,0.004196600585937499,-0.00649596020507812,0.0032130517578124775
