t,x,y,vx,vy
19.285,-0.194,1.723E-2,3.906E-2,9.233E-3
19.318,-0.193,1.760E-2,4.007E-2,1.048E-2
19.351,-0.191,1.793E-2,4.123E-2,1.138E-2
19.385,-0.190,1.836E-2,3.489E-2,8.934E-3
19.418,-0.189,1.854E-2,2.840E-2,5.673E-3
19.451,-0.188,1.875E-2,1.984E-2,6.357E-3
19.485,-0.188,1.896E-2,2.001E-2,5.656E-3
19.518,-0.187,1.912E-2,2.898E-2,5.766E-3
19.551,-0.186,1.935E-2,2.931E-2,5.145E-3
19.585,-0.185,1.947E-2,1.876E-2,2.701E-3
19.618,-0.184,1.953E-2,1.207E-2,2.409E-3
19.652,-0.184,1.963E-2,1.376E-2,2.530E-3
19.685,-0.183,1.970E-2,2.106E-2,4.448E-4
19.718,-0.182,1.966E-2,2.742E-2,1.778E-4
19.752,-0.182,1.971E-2,2.627E-2,1.146E-3
19.785,-0.181,1.973E-2,3.264E-2,4.647E-3
19.818,-0.179,2.002E-2,3.436E-2,8.624E-3
19.852,-0.178,2.031E-2,3.169E-2,8.757E-3
19.885,-0.177,2.060E-2,3.309E-2,7.854E-3
19.918,-0.176,2.083E-2,3.958E-2,5.347E-3
19.952,-0.175,2.096E-2,4.530E-2,2.240E-3
19.985,-0.173,2.098E-2,4.808E-2,4.217E-3
20.019,-0.172,2.124E-2,5.399E-2,8.070E-3
20.052,-0.170,2.152E-2,4.860E-2,6.790E-3
20.085,-0.168,2.169E-2,5.865E-2,7.956E-3
20.119,-0.166,2.205E-2,7.655E-2,1.063E-2
20.152,-0.163,2.240E-2,6.880E-2,1.193E-2
20.185,-0.161,2.284E-2,6.975E-2,1.488E-2
20.219,-0.159,2.339E-2,8.442E-2,1.428E-2
20.252,-0.156,2.380E-2,8.459E-2,1.150E-2
20.285,-0.153,2.416E-2,7.566E-2,1.169E-2
20.319,-0.150,2.458E-2,7.295E-2,1.184E-2
20.352,-0.148,2.495E-2,7.233E-2,1.047E-2
20.386,-0.146,2.527E-2,6.900E-2,1.169E-2
20.419,-0.143,2.573E-2,6.835E-2,1.304E-2
20.452,-0.141,2.614E-2,6.857E-2,1.148E-2
20.486,-0.139,2.650E-2,6.331E-2,1.181E-2
20.519,-0.137,2.693E-2,6.706E-2,1.224E-2
20.552,-0.134,2.731E-2,8.867E-2,1.250E-2
20.586,-0.131,2.776E-2,0.101,1.350E-2
20.619,-0.128,2.821E-2,0.102,1.473E-2
20.652,-0.124,2.875E-2,0.103,1.379E-2
20.686,-0.121,2.913E-2,0.105,1.308E-2
20.719,-0.117,2.962E-2,0.108,1.320E-2
20.753,-0.114,3.001E-2,9.951E-2,6.890E-3
20.786,-0.111,3.008E-2,8.898E-2,4.637E-3
20.819,-0.108,3.032E-2,9.413E-2,7.756E-3
20.853,-0.104,3.059E-2,0.104,8.254E-3
20.886,-0.101,3.087E-2,0.103,1.164E-2
20.919,-9.742E-2,3.137E-2,0.104,1.496E-2
20.953,-9.376E-2,3.187E-2,0.117,1.391E-2
20.986,-8.962E-2,3.230E-2,0.126,1.157E-2
21.019,-8.539E-2,3.264E-2,0.124,1.032E-2
21.053,-8.133E-2,3.299E-2,0.117,1.356E-2
21.086,-7.740E-2,3.357E-2,0.129,1.163E-2
21.120,-7.250E-2,3.378E-2,0.139,3.208E-3
21.153,-6.814E-2,3.378E-2,0.117,5.257E-3
21.186,-6.469E-2,3.413E-2,0.116,9.132E-3
21.220,-6.038E-2,3.439E-2,0.115,1.352E-3
21.253,-5.704E-2,3.422E-2,0.101,-5.512E-3
21.286,-5.362E-2,3.402E-2,9.987E-2,-6.508E-3
21.320,-5.038E-2,3.379E-2,9.619E-2,-1.148E-2
21.353,-4.721E-2,3.326E-2,8.877E-2,-1.609E-2
21.386,-4.446E-2,3.271E-2,8.223E-2,-1.468E-2
21.420,-4.172E-2,3.228E-2,7.882E-2,-1.366E-2
21.453,-3.921E-2,3.180E-2,7.363E-2,-1.335E-2
21.487,-3.682E-2,3.139E-2,6.550E-2,-1.311E-2
21.520,-3.484E-2,3.093E-2,5.841E-2,-1.304E-2
21.553,-3.292E-2,3.052E-2,5.904E-2,-1.185E-2
21.587,-3.091E-2,3.014E-2,6.033E-2,-1.240E-2
21.620,-2.890E-2,2.969E-2,6.219E-2,-1.430E-2
21.653,-2.676E-2,2.919E-2,6.278E-2,-1.417E-2
21.687,-2.471E-2,2.875E-2,5.995E-2,-1.187E-2
21.720,-2.276E-2,2.840E-2,6.218E-2,-1.182E-2
21.753,-2.057E-2,2.796E-2,7.588E-2,-1.192E-2
21.787,-1.770E-2,2.760E-2,7.975E-2,-1.110E-2
21.820,-1.525E-2,2.722E-2,6.681E-2,-1.202E-2
21.854,-1.325E-2,2.680E-2,6.552E-2,-1.158E-2
21.887,-1.088E-2,2.645E-2,6.766E-2,-7.676E-3
21.920,-8.740E-3,2.629E-2,5.348E-2,-5.104E-3
21.954,-7.318E-3,2.611E-2,4.217E-2,-5.477E-3
21.987,-5.929E-3,2.592E-2,4.273E-2,-4.492E-3
22.020,-4.470E-3,2.581E-2,4.396E-2,-3.205E-3
22.054,-2.998E-3,2.571E-2,4.852E-2,-4.330E-3
22.087,-1.235E-3,2.552E-2,5.533E-2,-5.914E-3
22.120,6.910E-4,2.531E-2,6.505E-2,-3.051E-3
22.154,3.102E-3,2.531E-2,8.029E-2,3.308E-4
22.187,6.044E-3,2.534E-2,0.103,5.022E-4
22.221,9.935E-3,2.535E-2,0.111,7.843E-6
22.254,1.342E-2,2.534E-2,0.112,-1.403E-4
22.287,1.740E-2,2.534E-2,0.106,1.398E-3
22.321,2.048E-2,2.543E-2,8.489E-2,4.776E-3
22.354,2.306E-2,2.566E-2,6.977E-2,4.127E-3
22.387,2.513E-2,2.571E-2,6.417E-2,1.218E-3
22.421,2.734E-2,2.574E-2,5.617E-2,2.249E-3
22.454,2.887E-2,2.586E-2,4.584E-2,2.307E-3
22.487,3.039E-2,2.589E-2,5.317E-2,1.664E-3
22.521,3.242E-2,2.597E-2,5.955E-2,3.467E-3
22.554,3.436E-2,2.612E-2,5.797E-2,4.661E-3
22.588,3.628E-2,2.628E-2,5.651E-2,2.954E-3
22.621,3.813E-2,2.632E-2,5.052E-2,2.337E-3
22.654,3.965E-2,2.643E-2,4.533E-2,2.191E-3
22.688,4.115E-2,2.647E-2,4.268E-2,4.193E-4
22.721,4.250E-2,2.646E-2,3.907E-2,-1.755E-4
22.754,4.376E-2,2.645E-2,3.990E-2,-6.404E-4
22.788,4.516E-2,2.642E-2,3.905E-2,3.391E-4
22.821,4.636E-2,2.648E-2,3.133E-2,1.227E-3
22.855,4.725E-2,2.650E-2,2.661E-2,-1.376E-3
22.888,4.813E-2,2.638E-2,2.549E-2,-1.108E-3
22.921,4.895E-2,2.643E-2,1.933E-2,1.234E-3
22.955,4.942E-2,2.647E-2,1.190E-2,-3.524E-4
22.988,4.974E-2,2.640E-2,7.836E-3,8.811E-4
23.021,4.994E-2,2.653E-2,7.071E-3,2.831E-3
23.055,5.021E-2,2.659E-2,6.502E-3,2.270E-3
23.088,5.038E-2,2.668E-2,6.926E-3,1.241E-3
23.121,5.067E-2,2.667E-2,1.036E-2,2.055E-3
23.155,5.109E-2,2.682E-2,7.936E-3,3.107E-3
23.188,5.121E-2,2.689E-2,3.391E-3,3.652E-3
23.222,5.131E-2,2.706E-2,-2.099E-4,3.559E-3
23.255,5.120E-2,2.712E-2,-1.670E-3,2.585E-3
23.288,5.120E-2,2.723E-2,4.889E-5,2.513E-3
23.322,5.120E-2,2.729E-2,2.052E-3,2.634E-3
23.355,5.134E-2,2.741E-2,2.721E-3,2.343E-3
23.388,5.139E-2,2.745E-2,,
